name,en,ua,zh,
,English,Ukrainian,Chinese,
buy_bonus,buy bonus,КУПИТИ ФРІ СПІНИ,购买免费旋转,
multiplier,MULTIPLIER,МУЛЬТИПЛІКАТОР,乘数,
free_spins,FREE SPINS,БЕЗКОШТОВНІ ОБЕРТАННЯ,免费旋转,
choice_starting_multiplier,starting MULTIPLIER,ПОЧАТКОВИЙ МУЛЬТИПЛІКАТОР,初始乘数,
choice_mutiplier_text,increasing win MULTIPLIER,ЗБІЛЬШЕННЯ МНОЖНИКА ВИГРАШУ,增加获胜倍数,
fs_congratulations,congratulations!,ВІТАЄМО!,恭喜！,
fs_you_won,you have won,ВИ ВИГРАЛИ,你赢了,
fs_in,in,В,在,
are_you_sure,are you sure you want to purchase bonus at the cost of,"ВИ ВПЕВНЕНІ, ЩО БАЖАЄТЕ КУПИТИ БОНУС ЗА ЦІНОЮ ",您确定要以该价格购买奖金,
double_chance,double chance to win feature,ПОДВІЙНИЙ ШАНС ВИГРАТИ ФУНКЦІЮ,赢取专题节目的双重机会,
on,on,УВІМ,启用,
off,off,ВИМК,关掉,
balance,Balance,Баланс,平衡,
win,Win,Виграш,您的奖金,
bet,Bet,Ставка,贝特,
fs_left,FREE SPINS left,ЗАЛИШИЛОСЯ ФРІ СПІНІВ,剩余免费旋转次数,
paytable,PAYTABLE,ТАБЛИЦЯ ВИПЛАТ,赔付表,
fs_rules,FREE SPIN rules,ПРАВИЛА БЕЗКОШТОВНИХ ОБЕРТАНЬ,免费旋转规则,
game_features,game features,ОСОБЛИВОСТІ ГРИ,游戏特色,
gamble_lose,You Lose,Ви програли!,,
max_win,you got the maximum win,ви отримали максимальний виграш,,
gamble_congrats,congratulation! You win,Вітаю! Ви виграли,,
choose_red_or_black,Choose Red or Black to Gamble or take a Win,"Виберіть червоне або чорне, щоб зробити ставку або отримати виграш",,
red,red,ЧЕРВОНИЙ,,
black,black,ЧОРНИЙ,,
collect,collect,Забрати,,
gamble,gamble,Азартна гра,,
general_rules,general rules,ЗАГАЛЬНІ ПРАВИЛА,一般规则,
settings,settings,НАЛАШТУВАННЯ,游戏设置,
autoplay,autoplay options,НАЛАШТУВАННЯ АВТОГРИ,自动播放设置,
music_volume,music volume,ГУЧНІСТЬ МУЗИКИ,音乐量,
sound_volume,sound fx volume,ГУЧНІСТЬ ЕФЕКТІВ,效果音量,
mute,mute,ВИМКНУТИ,关掉,
autoplay_stop,stop autoplay,ЗУПИНИТИ АВТОГРУ,停止自动播放,
any_win,on any win,У РАЗІ БУДЬ-ЯКОГО ВИГРАШУ,万一获胜,
fs_won,if FREE SPINS ARE WON,ЯКЩО ВИГРАЮТЬСЯ БЕЗКОШТОВНІ ОБЕРТАННЯ,如果免费旋转获胜,
if_win_exceed,if single win exceeds,ЯКЩО ОДНОРАЗОВИЙ ВИГРАШ ПЕРЕВИЩУЄ,如果单赢超过,
if_balance_increase,if balance increases by,ЯКЩО БАЛАНС ЗБІЛЬШУЄТЬСЯ НА,如果余额增加,
if_balance_decrease,if balance decreases by,ЯКЩО БАЛАНС ЗМЕНШУЄТЬСЯ НА,如果余额减少,
continue,,,,
press_anywhere,press anywhere to continue,"НАТИСНІТЬ БУДЬ-ДЕ, ЩОБ ПРОДОВЖИТИ",单击任意位置继续,
bonus_popup_yes,yes,ТАК,是的,
bonus_popup_no,no,НІ,不,
random_phrase_1,Maximum number of possible ways to win is 200704,Максимальна кількість можливих способів перемогти - 200704,最大可能获胜方式数为200704,
random_phrase_2,Unlimited win multiplier,Необмежений множник виграшу,无限胜利加倍器,
random_phrase_3,Win up to 23 Free Spins,Вигравайте до 23 безкоштовних обертів,最多可获得23次免费旋转,
mystery,mystery,НІ,不,
free_spins_summary,FREE SPINS,БЕЗКОШТОВНИХ ОБЕРТАННЯХ,免费旋转,
info.wild_description,"This symbol is WILD and substitutes for all symbols except for SCATTER symbol. WILD symbol appears only on reels 2, 3, 4 and 5, on the top row.","Цей символ є WILD і замінює всі символи, окрім символу Scatter. Символ WILD з'являється лише на барабанах 2, 3, 4 і 5, у верхньому ряду.",该符号是 WILD，可替代除了 Scatter 符号以外的所有符号。 WILD 符号只出现在第2、3、4和5卷，顶部行,
info.buy_bonus,BUY BONUS,КУПИТИ БОНУС,购买奖金,
info.buy_bonus_description,The player has the ability to purchase FREE SPIN Rounds by paying an amount equal to 100 times the total bet.,"Гравець може придбати раунди безкоштовних обертань, сплативши суму, рівну 100 разів загальній ставці.",玩家有能力通過支付相當於總投注100倍的金額來購買免費旋轉回合。,
info.double_chance,DOUBLE CHANCE,ПОДВОЇТИ ШАНС,双倍机会,
info.double_chance_description,The player has the ability to increase the chance to win FREE SPINS naturally by enabling Double chance feature. More SCATTER symbols are present on the reels. The FREE SPINS PURCHASE FEATURE is disabled.,"Гравець може збільшити ймовірність виграшу безкоштовних обертань, активуючи функцію подвоєння шансу. На барабанах присутні більше символів SCATTER. Функція покупки безкоштовних обертань вимкнена.",玩家可以通過啟用“雙倍機會”功能自然增加贏得免費旋轉的機會。在轉輪上存在更多的SCATTER符號。禁用免費旋轉購買功能。,
info.cascade_feature,CASCADE FEATURE,КАСКАДНА ФУНКЦІЯ,级联特性,
info.cascade_feature_description,"The CASCADE FEATURE operates in such a way that following each spin, payouts are awarded for winning combinations, and all winning symbols vanish. The symbols that remain will cascade to the lower part of the screen, with vacant positions being filled by symbols descending from above. This cascading process persists until no further winning combinations occur as a consequence of a cascade. There is no restriction on the potential number of cascades. All winnings are credited to the player's balance once all cascades stemming from a base spin have concluded.","КАСКАДНА ФУНКЦІЯ працює таким чином, що після кожного обертання виплати надаються за виграшні комбінації, і всі виграшні символи зникають. Символи, які залишаються, будуть каскадувати до нижньої частини екрану, з вакантні позиції заповнюються символами, які спускаються зверху. Цей процес каскадування триває до тих пір, поки не виникає подальших виграшних комбінацій внаслідок каскаду. Немає обмежень на потенційну кількість каскадів. Всі виграші кредитуються на баланс гравця, як тільки завершаться всі каскади, які виникають внаслідок базового обертання.",级联特性的操作方式是，在每次旋转后，奖励获胜组合的支付，并且所有获胜的符号都会消失。保留的符号将会层叠到屏幕的下部，空缺位置将由从上方下降的符号填充。此级联过程持续到没有更多的获胜组合发生为级联的结果。对潜在级联数量没有限制。一旦源自基础旋转的所有级联都结束，所有奖金都将记入玩家的余额。,
info.ways_to_win,Flexiways™,Flexiways™,Flexiways™,
info.ways_to_win_description,"Each reel will display a random number of symbols, creating varying maximum win possibilities with each spin. The game offers up to 200,704 possible ways to win.","Кожен барабан відображатиме випадкову кількість символів, створюючи різноманітні максимальні можливості виграшу з кожним обертанням. У грі пропонується до 200 704 можливих способів виграти.","每个转轴将显示随机数量的符号，每次旋转都会创造不同的最大获胜可能性。游戏提供多达200,704种获胜方式。",
info.ways_to_win_description2,"The game features 6 reels, with reels 1 and 6 capable of displaying up to 7 symbols, and reels 2 through 5 holding up to 8 symbols. A top Cart Reel is positioned above reels 2-5, spinning from right to left. Depending on the number of symbols that land, each spin can provide up to 200,704 ways to win. Wins are awarded for adjacent symbols from left to right, regardless of their size.","Гра має 6 барабанів, де барабани 1 і 6 можуть відображати до 7 символів, а барабани 2–5 можуть утримувати до 8 символів. Над барабанами 2-5 розташований верхній Каретний Барабан, який обертається справа наліво. Залежно від кількості символів, що випадають, кожне обертання може надати до 200 704 способів виграти. Виграші присуджуються за сусідні символи зліва направо, незалежно від їхнього розміру.","该游戏有6个转轴，第1和第6个转轴最多可显示7个符号，第2至第5个转轴最多可显示8个符号。在第2到第5个转轴上方有一个顶部货车转轴，从右向左旋转。根据落下的符号数量，每次旋转最多可提供200,704种获胜方式。获胜是基于从左到右的相邻符号，无论其大小。",
info.ways_to_win_description3,"Wins are awarded for adjacent symbol combinations from left to right, starting from the leftmost reel, except for SCATTER wins. Only the highest-paying symbol in a winning combination is awarded. Wins are combined and totaled.","Виграші присуджуються за комбінації суміжних символів зліва направо, починаючи з крайнього лівого барабана, за винятком виграшів за символи SCATTER. У виграшній комбінації присуджується лише символ із найвищою оплатою. Виграші комбінуються та підсумовуються.","获胜基于从左到右的相邻符号组合，从最左边的转轴开始，SCATTER获胜除外。仅授予获胜组合中支付最高的符号。所有获胜将被合并并汇总。",
info.free_spins_rules,FREE SPINS RULES,ПРАВИЛА БЕЗКОШТОВНИХ ОБЕРТАНЬ,免费旋转规则,
info.free_spins_rules_description.0,The FREE SPINS FEATURE is triggered when 4 or more SCATTER symbols land anywhere on the screen. The round starts with 10 free spins.,"Функція БЕЗКОШТОВНІ ОБЕРТАННЯ активується, коли 4 або більше символів SCATTER приземляються де завгодно на екрані. Раунд починається з 10 безкоштовних обертань.",当屏幕上出现4个或更多的SCATTER符号时，将触发免费旋转功能。该轮以10次免费旋转开始。,
info.free_spins_rules_description.1,During the FREE SPINS FEATURE every cascade increases the win multiplier by 1x. After every cascade the win of that cascade is multiplied by the current win multiplier.,Під час БЕЗКОШТОВНИХ ОБЕРТАНЬ кожен каскад збільшує множник виграшу на 1x. Після кожного каскаду виграш цього каскаду множиться поточним множником виграшу.,在免费旋转功能期间，每次级联都会将赢得的乘数增加1倍。每次级联后，该级联的赢得将乘以当前的赢得乘数。,
info.free_spins_rules_description.2,At the beginning of the FREE SPINS ROUND choose one out of 4 options:,На початку РАУНДУ БЕЗКОШТОВНИХ ОБЕРТАНЬ виберіть один із 4 варіантів:,在免费旋转回合开始时选择4个选项之一：,
info.free_spins_rules_bottom_description.0,"Random number of free spins, random starting MULTIPLIER.","Випадкова кількість безкоштовних обертань, випадковий початковий множник.",随机数量的免费旋转，随机起始乘数。,
info.free_spins_rules_bottom_description.1,Hit 3 SCATTER  symbols during the FREE SPINS ROUNDS to trigger 5 more FREE SPINS.,"Отримайте 3 символи SCATTER під час РАУНДІВ БЕЗКОШТОВНИХ ОБЕРТАНЬ, щоб активувати ще 5 безкоштовних обертань.",在免费旋转回合中命中3个SCATTER符号以触发5次额外的免费旋转。,
info.free_spins_rules_bottom_description.2,There are No limits!,Обмежень немає!,没有限制！,
info.game_rules,GAME RULES,ПРАВИЛА ГРИ,游戏规则,
info.game_rules_description.0,Only the highest win is paid winning combination on the same pay way.,Виплачується тільки найвищий виграш комбінації на одному платежовому шляху.,只有在相同的支付途径上支付最高的获胜组合。,
info.game_rules_description.1,"When winning on multiple pay ways, all wins are added to the total win.",При виграші на кількох платежових шляхах всі виграші додаються до загального виграшу.,当在多个支付途径上获胜时，所有获胜都会添加到总获胜中。,
info.game_rules_description.2,FREE SPINS win is awarded to the player after the round completes.,Виграш від безкоштовних обертань видається гравцеві після завершення раунду.,在回合结束后，将向玩家授予免费旋转奖金。,
info.game_rules_description.3,FREE SPINS total win in the history contains the whole win of the cycle.,Загальний виграш від безкоштовних обертань в історії містить весь виграш циклу.,历史上的免费旋转总奖金包含整个周期的全部奖金。,
info.game_rules_description.4,SPACE and ENTER buttons on the keyboard can be used to start and stop the spin.,Кнопки SPACE та ENTER на клавіатурі можна використовувати для початку та зупинки обертання.,键盘上的SPACE和ENTER按钮可用于启动和停止旋转。,
info.game_rules_description.5,The average RTP of the game is 96.00%,"Середній відсоток повернення до гравця гри складає 96,00%",游戏的平均RTP为96.00%,
info.game_rules_description.6,Malfunction voids all pays and plays.,Всі виплати та гри анулюються в разі несправності.,如果发生故障，所有支付和游戏均无效。,
info.scatters_table.0.0,4 SCATTERS,4 SCATTERS,4 SCATTERS,
info.scatters_table.0.1,"15 FREE SPINS, starting multiplier 1x","15 безкоштовних обертань, початковий множник 1x",15次免费旋转，起始乘数1倍,
info.scatters_table.0.2,"10 FREE SPINS, starting multiplier 5x","10 безкоштовних обертань, початковий множник 5x",10免费旋转，起始倍增5倍,
info.scatters_table.0.3,"5 FREE SPINS, starting multiplier 10x","5 безкоштовних обертань, початковий множник 10x",5免费旋转，起始倍增10倍,
info.scatters_table.1.0,5 SCATTERS,5 SCATTERS,5 SCATTERS,
info.scatters_table.1.1,"19 FREE SPINS, starting multiplier 1x","19 безкоштовних обертань, початковий множник 1x",19免费旋转，起始倍增1倍,
info.scatters_table.1.2,"14 FREE SPINS, starting multiplier 5x","14 безкоштовних обертань, початковий множник 5x",14免费旋转，起始倍增5倍,
info.scatters_table.1.3,"9 FREE SPINS, starting multiplier 10x","9 безкоштовних обертань, початковий множник 10x",9免费旋转，起始倍增10倍,
info.scatters_table.2.0,6 SCATTERS,6 SCATTERS,6 SCATTERS,
info.scatters_table.2.1,"23 FREE SPINS, starting multiplier 1x","23 безкоштовних обертань, початковий множник 1x",23免费旋转，起始倍增1倍,
info.scatters_table.2.2,"18 FREE SPINS, starting multiplier 5x","18 безкоштовних обертань, початковий множник 5x",18免费旋转，起始倍增5倍,
info.scatters_table.2.3,"13 FREE SPINS, starting multiplier 10x","13 безкоштовних обертань, початковий множник 10x",13免费旋转，起始倍增10倍,
info.how_to_play,HOW TO PLAY,ЯК ГРАТИ,如何玩,
info.how_to_play_description.0,Press $spin button to start the spin.,"Натисніть кнопку $spin, щоб почати обертання.",按下 $spin 按钮开始旋转。,
info.how_to_play_description.1,"To change the wager value press $bet button and in opened menu, use $decrease and $increase to decrease and increase the wager level.","Щоб змінити ставку, натисніть кнопку $bet та у відкритому меню використовуйте $decrease та $increase для зменшення та збільшення рівня ставки.",要更改赌注，请按 $bet 按钮并在打开的菜单中使用 $decrease 和 $increase 来减少和增加赌注水平。,
info.how_to_play_description.2,"$menu opens Help Menu, which includes general info, game settings and autoplay settings.","$menu відкриває меню довідки, яке містить загальну інформацію, налаштування гри та налаштування автогри.",$menu 打开帮助菜单，其中包括常规信息、游戏设置和自动播放设置。,
info.how_to_play_description.3,Press $turbo to enable the Turbo Spin mode.,"Натискайте $turbo, щоб увімкнути режим Turbo Spin.",按下 $turbo 启用 Turbo Spin 模式。,
info.how_to_play_description.4,To open the Autoplay settings press $autoplay. Choose number of autospins from the predefined values by pressing on the particular button $tenAutoplay. Autospins will start immediately and automatically. To stop the autoplay press $stop.,"Щоб відкрити налаштування автогри, натисніть $autoplay. Виберіть кількість автоматичних обертань з попередньо визначених значень, натискаючи на певну кнопку $tenAutoplay. Автоматичні обертання розпочнуться негайно та автоматично. Щоб зупинити автогру, натисніть $stop.",要打开自动播放设置，请按 $autoplay。通过按 $tenAutoplay 按钮选择预定义值中的自动旋转次数。自动旋转将立即启动并自动进行。要停止自动播放，请按 $stop。,
info.how_to_play_description.5,Remaining number of the autospins will be shown on the Spin button $spinNumber.,Залишкова кількість автогравань буде відображатися на кнопці обертання $spinNumber.,剩余的自动旋转次数将显示在 Spin 按钮 $spinNumber 上。,
info.how_to_play_description.6,To enable full screen mode press $fullscreen.,"Щоб увімкнути повноекранний режим, натисніть $fullscreen.",要启用全屏模式，请按 $fullscreen。,
info.how_to_play_description.7,$sound enables and disables the audio in the game.,$sound увімкнює та вимикає звук в грі.,$sound 启用和禁用游戏中的音频。,The FREE SPINS is triggered when 4 or more SCATTER symbols land anywhere on the screen. The round starts with 10 free spins.
onboarding_switcher_text,Don't show again,Не показувати знову,不要顯示新手引導,
info.scatter_description,SCATTER symbols can appear on all five reels. 3 SCATTER symbols trigger 10 FREE SPINS. There are winnings from SCATTER symbols only. SCATTER symbol wins are added to other symbol line wins. SCATTER symbol substitutes for any other symbol in its own position only.,Символи SCATTER можуть з'являтися на всіх п'яти барабанах. 3 символи SCATTER запускають 10 БЕЗКОШТОВНИХ ОБЕРТАНЬ. Є виграші лише від символів SCATTER. Виграші символів SCATTER додаються до виграшів інших ліній символів. Символ SCATTER замінює будь-який інший символ лише у своїй позиції.,,
history_title,HISTORY,ІСТОРІЯ,,,
history_no_history,no history yet,Історії поки що немає,,,
history_game_data_title,Game Data,Дані гри,,,
history_game_data_1,Start:,Початок:,,,
history_game_data_2,End:,Кінець:,,,
history_game_data_3,Transaction:,Транзакція:,,,
history_transaction_title,Transaction:,Транзакція:,,,
history_fs_transaction_title, Free Spins Transaction:,Транзакція безкоштовних обертань:,,,
history_spins, SPINS,ОБЕРТАННЯ,,,
history_transaction_1,Balance before spin:,Баланс перед обертанням:,,,
history_transaction_2,Total bet:,Загальна ставка:,,,
history_transaction_3,Balance after win:,Баланс після виграшу:,,,
history_transaction_4,Total win:,Загальний виграш:,,,